departamento_residencia,provincia_residencia,anio_min,evento,grupo_etario,sepi_min,cantidad
COMUNA 7,CABA,2024,Dengue,De 2 a 4 años,13,2
COMUNA 7,CABA,2024,Dengue,De 10 a 14 años,16,5
COMUNA 7,CABA,2024,Dengue,De 10 a 14 años,5,3
COMUNA 7,CABA,2024,Dengue,De 15 a 19 años,11,10
COMUNA 7,CABA,2024,Dengue,De 15 a 19 años,8,9
COMUNA 7,CABA,2024,Dengue,De 20 a 24 años,12,10
COMUNA 8,CABA,2024,Dengue,De 10 a 14 años,7,2
COMUNA 8,CABA,2024,Dengue,De 15 a 19 años,11,12
COMUNA 8,CABA,2024,Dengue,De 15 a 19 años,18,1
COMUNA 8,CABA,2024,Dengue,De 15 a 19 años,8,8
COMUNA 8,CABA,2024,Dengue,De 20 a 24 años,18,5
COMUNA 8,CABA,2024,Dengue,De 20 a 24 años,5,2
COMUNA 8,CABA,2024,Dengue,De 25 a 34 años,18,12
COMUNA 9,CABA,2024,Dengue,De 35 a 44 años,15,8
COMUNA 9,CABA,2024,Dengue,De 35 a 44 años,18,5
COMUNA 9,CABA,2024,Dengue,De 35 a 44 años,3,2
COMUNA 9,CABA,2024,Dengue,De 45 a 65 años,17,7
COMUNA 9,CABA,2024,Dengue,De 45 a 65 años,19,2
COMUNA 9,CABA,2024,Dengue,De 45 a 65 años,3,1
COMUNA 9,CABA,2024,Dengue,Mayores de 65 años,16,2
COMUNA 9,CABA,2024,Dengue,De 10 a 14 años,10,3
COMUNA 9,CABA,2024,Dengue,De 10 a 14 años,8,7
COMUNA 9,CABA,2024,Dengue,De 15 a 19 años,21,2
COMUNA 9,CABA,2024,Dengue,De 20 a 24 años,4,1
COMUNA 9,CABA,2024,Dengue,De 25 a 34 años,5,1
COMUNA 9,CABA,2024,Dengue,De 25 a 34 años,6,1
COMUNA 9,CABA,2024,Dengue,De 25 a 34 años,7,3
COMUNA 10,CABA,2024,Dengue,De 45 a 65 años,14,11
COMUNA 10,CABA,2024,Dengue,De 45 a 65 años,15,9
COMUNA 10,CABA,2024,Dengue,Mayores de 65 años,9,6
COMUNA 10,CABA,2024,Dengue,De 2 a 4 años,13,1
COMUNA 10,CABA,2024,Dengue,De 15 a 19 años,14,3
COMUNA 10,CABA,2024,Dengue,De 15 a 19 años,16,1
COMUNA 10,CABA,2024,Dengue,De 20 a 24 años,16,2
COMUNA 10,CABA,2024,Dengue,De 20 a 24 años,7,2
COMUNA 10,CABA,2024,Dengue,De 25 a 34 años,5,1
COMUNA 11,CABA,2024,Dengue,De 35 a 44 años,11,21
COMUNA 11,CABA,2024,Dengue,De 10 a 14 años,4,1
COMUNA 11,CABA,2024,Dengue,De 25 a 34 años,12,17
COMUNA 11,CABA,2024,Dengue,De 25 a 34 años,14,6
COMUNA 11,CABA,2024,Dengue,De 25 a 34 años,15,13
COMUNA 12,CABA,2024,Dengue,De 35 a 44 años,10,24
COMUNA 12,CABA,2024,Dengue,Mayores de 65 años,8,8
COMUNA 12,CABA,2024,Dengue,Posneonato (29 hasta 365 días),12,2
COMUNA 12,CABA,2024,Dengue,De 2 a 4 años,13,2
COMUNA 12,CABA,2024,Dengue,De 5 a 9 años,8,1
COMUNA 12,CABA,2024,Dengue,De 15 a 19 años,14,11
COMUNA 12,CABA,2024,Dengue,De 15 a 19 años,15,5
COMUNA 12,CABA,2024,Dengue,De 20 a 24 años,16,1
COMUNA 12,CABA,2024,Dengue,De 20 a 24 años,17,2
COMUNA 13,CABA,2024,Dengue,De 35 a 44 años,15,6
COMUNA 13,CABA,2024,Dengue,De 35 a 44 años,19,1
COMUNA 13,CABA,2024,Dengue,De 35 a 44 años,9,8
COMUNA 13,CABA,2024,Dengue,De 45 a 65 años,3,3
COMUNA 13,CABA,2024,Dengue,De 45 a 65 años,7,7
COMUNA 13,CABA,2024,Dengue,Mayores de 65 años,16,5
COMUNA 13,CABA,2024,Dengue,De 5 a 9 años,9,1
COMUNA 13,CABA,2024,Dengue,De 15 a 19 años,17,3
COMUNA 13,CABA,2024,Dengue,De 15 a 19 años,7,2
COMUNA 13,CABA,2024,Dengue,De 20 a 24 años,13,7
COMUNA 13,CABA,2024,Dengue,De 25 a 34 años,17,4
COMUNA 13,CABA,2024,Dengue,De 25 a 34 años,19,3
COMUNA 14,CABA,2024,Dengue,De 35 a 44 años,5,4
COMUNA 14,CABA,2024,Dengue,De 35 a 44 años,6,2
COMUNA 1,CABA,2024,Dengue,De 35 a 44 años,13,205
COMUNA 1,CABA,2024,Dengue,De 45 a 65 años,16,198
COMUNA 1,CABA,2024,Dengue,De 45 a 65 años,17,141
COMUNA 1,CABA,2024,Dengue,De 45 a 65 años,20,14
COMUNA 1,CABA,2024,Dengue,Mayores de 65 años,20,5
COMUNA 1,CABA,2024,Dengue,Posneonato (29 hasta 365 días),18,1
COMUNA 1,CABA,2024,Dengue,De 2 a 4 años,9,4
COMUNA 1,CABA,2024,Dengue,De 5 a 9 años,21,1
COMUNA 1,CABA,2024,Dengue,De 10 a 14 años,1,1
COMUNA 1,CABA,2024,Dengue,De 25 a 34 años,19,15
COMUNA 2,CABA,2024,Dengue,De 35 a 44 años,2,2
COMUNA 2,CABA,2024,Dengue,De 45 a 65 años,20,1
COMUNA 2,CABA,2024,Dengue,Mayores de 65 años,12,3
COMUNA 2,CABA,2024,Dengue,Mayores de 65 años,15,1
COMUNA 2,CABA,2024,Dengue,De 5 a 9 años,9,1
COMUNA 2,CABA,2024,Dengue,De 15 a 19 años,15,1
COMUNA 2,CABA,2024,Dengue,De 15 a 19 años,19,1
COMUNA 2,CABA,2024,Dengue,De 20 a 24 años,16,4
COMUNA 2,CABA,2024,Dengue,De 25 a 34 años,16,8
COMUNA 2,CABA,2024,Dengue,De 25 a 34 años,6,2
COMUNA 3,CABA,2024,Dengue,De 45 a 65 años,13,24
COMUNA 3,CABA,2024,Dengue,De 2 a 4 años,15,1
COMUNA 3,CABA,2024,Dengue,De 10 a 14 años,19,2
COMUNA 3,CABA,2024,Dengue,De 10 a 14 años,6,3
COMUNA 3,CABA,2024,Dengue,De 20 a 24 años,11,5
